year month	day	rock	scissors	paper
2016 2 21 0 1 0
2016 2 28 1 0 0
2016 3 6 0 0 1
2016 3 13 0 0 1
2016 3 20 1 0 0
2016 3 27 0 1 0
2016 4 3 0 0 1
2016 4 10 1 0 0
2016 4 17 1 0 0
2016 4 24 0 1 0
2016 5 1 0 1 0
2016 5 8 0 0 1
2016 5 15 0 0 1
2016 5 22 1 0 0
2016 5 29 0 0 1
2016 6 5 0 1 0
2016 6 12 1 0 0
2016 6 19 0 0 1
2016 6 26 1 0 0
2016 7 3 0 1 0
2016 7 10 0 1 0
2016 7 17 0 0 1
2016 7 24 0 1 0
2016 7 31 1 0 0
2016 8 7 1 0 0
2016 8 14 0 1 0
2016 8 21 0 0 1
2016 8 28 0 1 0
2016 9 4 0 0 1
2016 9 11 1 0 0
2016 9 18 1 0 0
2016 9 25 0 0 1
2016 10 2 0 1 0
2016 10 9 1 0 0
2016 10 16 0 1 0
2016 10 30 0 0 1
2016 11 6 0 1 0
2016 11 13 1 0 0
2016 11 20 1 0 0
2016 11 27 0 0 1
2016 12 4 0 0 1
2016 12 11 0 1 0
2016 12 18 1 0 0
2016 12 25 0 0 1
2017 1 8 0 1 0
2017 1 15 0 1 0
2017 1 22 0 0 1
2017 1 29 1 0 0
2017 2 5 1 0 0
2017 2 12 0 0 1
2017 2 19 0 1 0
2017 2 26 0 1 0
2017 3 5 1 0 0
2017 3 12 0 0 1
2017 3 26 0 1 0
2017 4 2 0 1 0
2017 4 9 1 0 0
2017 4 16 0 0 1
2017 4 23 0 0 1
